;Class;gt;eval;t_start;t_end
0;car;30;30;18:30:00;18:32:30
1;person;8;8;18:30:00;18:32:30
2;bicycle;2;2;18:30:00;18:32:30
3;car;20;20;18:32:30;18:35:00
4;person;10;10;18:32:30;18:35:00
5;bus;2;2;18:32:30;18:35:00
6;bicycle;1;1;18:32:30;18:35:00
7;car;28;27;18:35:00;18:37:30
8;person;13;13;18:35:00;18:37:30
9;bicycle;2;2;18:35:00;18:37:30
10;truck;1;1;18:35:00;18:37:30
11;motorcycle;1;1;18:35:00;18:37:30
12;bus;1;1;18:35:00;18:37:30
13;car;36;36;18:37:30;18:40:00
14;person;5;5;18:37:30;18:40:00
15;truck;2;2;18:37:30;18:40:00
16;motorcycle;1;1;18:37:30;18:40:00
17;bicycle;1;1;18:37:30;18:40:00
18;car;20;20;18:40:00;18:42:30
19;person;15;15;18:40:00;18:42:30
20;bus;2;2;18:40:00;18:42:30
21;bicycle;1;1;18:40:00;18:42:30
22;car;23;23;18:42:30;18:45:00
23;person;15;16;18:42:30;18:45:00
24;bicycle;1;1;18:42:30;18:45:00
25;bus;1;1;18:42:30;18:45:00
